Time(ms),Amplitude,Cluster,Label
3070,-255,1,Tachycardia
3080,-242,1,Tachycardia
3090,-228,1,Tachycardia
3100,-212,1,Tachycardia
3110,-194,1,Tachycardia
3120,-176,1,Tachycardia
3130,-156,1,Tachycardia
3140,-136,1,Tachycardia
3150,-114,1,Tachycardia
3160,-92,1,Tachycardia
3170,-70,1,Tachycardia
3180,-46,1,Tachycardia
3190,-23,0,Normal
3200,0,0,Normal
3210,23,0,Normal
3220,46,0,Normal
3230,70,0,Normal
3240,92,0,Normal
3250,114,0,Normal
3260,136,0,Normal
3270,156,0,Normal
3280,176,0,Normal
3290,194,0,Normal
3300,212,0,Normal
3310,228,0,Normal
3320,242,0,Normal
3330,255,0,Normal
3340,267,0,Normal
3350,277,0,Normal
3360,285,0,Normal
3370,291,0,Normal
3380,296,0,Normal
3390,299,0,Normal
3400,299,0,Normal
3410,299,0,Normal
3420,296,0,Normal
3430,291,0,Normal
3440,285,0,Normal
3450,277,0,Normal
3460,267,0,Normal
3470,255,0,Normal
3480,242,0,Normal
3490,228,0,Normal
3500,212,0,Normal
3510,194,0,Normal
3520,176,0,Normal
3530,156,0,Normal
3540,136,0,Normal
3550,114,0,Normal
3560,92,0,Normal
3570,70,0,Normal
3580,46,0,Normal
3590,23,0,Normal
3600,0,0,Normal
3610,-23,0,Normal
3620,-46,1,Tachycardia
3630,-70,1,Tachycardia
3640,-92,1,Tachycardia
3650,-114,1,Tachycardia
3660,-136,1,Tachycardia
3670,-156,1,Tachycardia
3680,-176,1,Tachycardia
3690,-194,1,Tachycardia
3700,-212,1,Tachycardia
3710,-228,1,Tachycardia
3720,-242,1,Tachycardia
3730,-255,1,Tachycardia
3740,-267,1,Tachycardia
3750,-277,1,Tachycardia
3760,-285,1,Tachycardia
3770,-291,1,Tachycardia
3780,-296,1,Tachycardia
3790,-299,1,Tachycardia
3800,-299,1,Tachycardia
3810,-299,1,Tachycardia
3820,-296,1,Tachycardia
3830,-291,1,Tachycardia
3840,-285,1,Tachycardia
3850,-277,1,Tachycardia
3860,-267,1,Tachycardia
3870,-255,1,Tachycardia
3880,-242,1,Tachycardia
3890,-228,1,Tachycardia
3900,-212,1,Tachycardia
3910,-194,1,Tachycardia
3920,-176,1,Tachycardia
3930,-156,1,Tachycardia
3940,-136,1,Tachycardia
3950,-114,1,Tachycardia
3960,-92,1,Tachycardia
3970,-70,1,Tachycardia
3980,-46,1,Tachycardia
3990,-23,0,Normal
4000,0,0,Normal
4010,23,0,Normal
4020,46,0,Normal
4030,70,0,Normal
4040,92,0,Normal
4050,114,0,Normal
4060,136,0,Normal
4070,156,0,Normal
4080,176,0,Normal
4090,194,0,Normal
4100,212,0,Normal
4110,228,0,Normal
4120,242,0,Normal
4130,255,0,Normal
4140,267,0,Normal
4150,277,0,Normal
4160,285,0,Normal
4170,291,0,Normal
4180,296,0,Normal
4190,299,0,Normal
4200,299,0,Normal
4210,299,0,Normal
4220,296,0,Normal
4230,291,0,Normal
4240,285,0,Normal
4250,277,0,Normal
4260,267,0,Normal
4270,255,0,Normal
4280,242,0,Normal
4290,228,0,Normal
4300,212,0,Normal
4310,194,0,Normal
4320,176,0,Normal
4330,156,0,Normal
4340,136,0,Normal
4350,114,0,Normal
4360,92,0,Normal
4370,70,0,Normal
4380,46,0,Normal
4390,23,0,Normal
4400,0,0,Normal
4410,-23,0,Normal
4420,-46,1,Tachycardia
4430,-70,1,Tachycardia
4440,-92,1,Tachycardia
4450,-114,1,Tachycardia
4460,-136,1,Tachycardia
4470,-156,1,Tachycardia
4480,-176,1,Tachycardia
4490,-194,1,Tachycardia
4500,-212,1,Tachycardia
4510,-228,1,Tachycardia
4520,-242,1,Tachycardia
4530,-255,1,Tachycardia
4540,-267,1,Tachycardia
4550,-277,1,Tachycardia
4560,-285,1,Tachycardia
4570,-291,1,Tachycardia
4580,-296,1,Tachycardia
4590,-299,1,Tachycardia
4600,-299,1,Tachycardia
4610,-299,1,Tachycardia
4620,-296,1,Tachycardia
4630,-291,1,Tachycardia
4640,-285,1,Tachycardia
4650,-277,1,Tachycardia
4660,-267,1,Tachycardia
4670,-255,1,Tachycardia
4680,-242,1,Tachycardia
4690,-228,1,Tachycardia
4700,-212,1,Tachycardia
4710,-194,1,Tachycardia
4720,-176,1,Tachycardia
4730,-156,1,Tachycardia
4740,-136,1,Tachycardia
4750,-114,1,Tachycardia
4760,-92,1,Tachycardia
4770,-70,1,Tachycardia
4780,-46,1,Tachycardia
4790,-23,0,Normal
4800,0,0,Normal
4810,23,0,Normal
4820,46,0,Normal
4830,70,0,Normal
4840,92,0,Normal
4850,114,0,Normal
4860,136,0,Normal
4870,156,0,Normal
4880,176,0,Normal
4890,194,0,Normal
4900,212,0,Normal
4910,228,0,Normal
4920,242,0,Normal
4930,255,0,Normal
4940,267,0,Normal
4950,277,0,Normal
4960,285,0,Normal
4970,291,0,Normal
4980,296,0,Normal
4990,299,0,Normal
5000,299,0,Normal
5010,299,0,Normal
5020,296,0,Normal
5030,291,0,Normal
5040,285,0,Normal
5050,277,0,Normal
5060,267,0,Normal
5070,255,0,Normal
5080,242,0,Normal
5090,228,0,Normal
5100,212,0,Normal
5110,194,0,Normal
5120,176,0,Normal
5130,156,0,Normal
5140,136,0,Normal
5150,114,0,Normal
5160,92,0,Normal
5170,70,0,Normal
5180,46,0,Normal
5190,23,0,Normal
5200,0,0,Normal
5210,-23,0,Normal
5220,-46,1,Tachycardia
5230,-70,1,Tachycardia
5240,-92,1,Tachycardia
5250,-114,1,Tachycardia
5260,-136,1,Tachycardia
5270,-156,1,Tachycardia
5280,-176,1,Tachycardia
5290,-194,1,Tachycardia
5300,-212,1,Tachycardia
5310,-228,1,Tachycardia
5320,-242,1,Tachycardia
5330,-255,1,Tachycardia
5340,-267,1,Tachycardia
5350,-277,1,Tachycardia
5360,-285,1,Tachycardia
5370,-291,1,Tachycardia
5380,-296,1,Tachycardia
5390,-299,1,Tachycardia
5400,-299,1,Tachycardia
5410,-299,1,Tachycardia
5420,-296,1,Tachycardia
5430,-291,1,Tachycardia
5440,-285,1,Tachycardia
5450,-277,1,Tachycardia
5460,-267,1,Tachycardia
5470,-255,1,Tachycardia
5480,-242,1,Tachycardia
5490,-228,1,Tachycardia
5500,-212,1,Tachycardia
5510,-194,1,Tachycardia
5520,-176,1,Tachycardia
5530,-156,1,Tachycardia
5540,-136,1,Tachycardia
5550,-114,1,Tachycardia
5560,-92,1,Tachycardia
5570,-70,1,Tachycardia
5580,-46,1,Tachycardia
5590,-23,0,Normal
5600,0,0,Normal
5610,23,0,Normal
5620,46,0,Normal
5630,70,0,Normal
5640,92,0,Normal
5650,114,0,Normal
5660,136,0,Normal
5670,156,0,Normal
5680,176,0,Normal
5690,194,0,Normal
5700,212,0,Normal
5710,228,0,Normal
5720,242,0,Normal
5730,255,0,Normal
5740,267,0,Normal
5750,277,0,Normal
5760,285,0,Normal
5770,291,0,Normal
5780,296,0,Normal
5790,299,0,Normal
5800,299,0,Normal
5810,299,0,Normal
5820,296,0,Normal
5830,291,0,Normal
5840,285,0,Normal
5850,277,0,Normal
5860,267,0,Normal
5870,255,0,Normal
5880,242,0,Normal
5890,228,0,Normal
5900,212,0,Normal
5910,194,0,Normal
5920,176,0,Normal
5930,156,0,Normal
5940,136,0,Normal
5950,114,0,Normal
5960,92,0,Normal
5970,70,0,Normal
5980,46,0,Normal
5990,23,0,Normal
6000,0,0,Normal
6010,-23,0,Normal
6020,-46,1,Tachycardia
6030,-70,1,Tachycardia
6040,-92,1,Tachycardia
6050,-114,1,Tachycardia
6060,-136,1,Tachycardia
6070,-156,1,Tachycardia
6080,-176,1,Tachycardia
6090,-194,1,Tachycardia
6100,-212,1,Tachycardia
6110,-228,1,Tachycardia
6120,-242,1,Tachycardia
6130,-255,1,Tachycardia
6140,-267,1,Tachycardia
6150,-277,1,Tachycardia
6160,-285,1,Tachycardia
6170,-291,1,Tachycardia
6180,-296,1,Tachycardia
6190,-299,1,Tachycardia
6200,-299,1,Tachycardia
6210,-299,1,Tachycardia
6220,-296,1,Tachycardia
6230,-291,1,Tachycardia
6240,-285,1,Tachycardia
6250,-277,1,Tachycardia
6260,-267,1,Tachycardia
6270,-255,1,Tachycardia
6280,-242,1,Tachycardia
6290,-228,1,Tachycardia
6300,-212,1,Tachycardia
6310,-194,1,Tachycardia
6320,-176,1,Tachycardia
6330,-156,1,Tachycardia
6340,-136,1,Tachycardia
6350,-114,1,Tachycardia
6360,-92,1,Tachycardia
6370,-70,1,Tachycardia
6380,-46,1,Tachycardia
6390,-23,0,Normal
6400,0,0,Normal
6410,23,0,Normal
6420,46,0,Normal
6430,70,0,Normal
6440,92,0,Normal
6450,114,0,Normal
6460,136,0,Normal
6470,156,0,Normal
6480,176,0,Normal
6490,194,0,Normal
6500,212,0,Normal
6510,228,0,Normal
6520,242,0,Normal
6530,255,0,Normal
6540,267,0,Normal
6550,277,0,Normal
6560,285,0,Normal
6570,291,0,Normal
6580,296,0,Normal
6590,299,0,Normal
6600,299,0,Normal
6610,299,0,Normal
6620,296,0,Normal
6630,291,0,Normal
6640,285,0,Normal
6650,277,0,Normal
6660,267,0,Normal
6670,255,0,Normal
6680,242,0,Normal
6690,228,0,Normal
6700,212,0,Normal
6710,194,0,Normal
6720,176,0,Normal
6730,156,0,Normal
6740,136,0,Normal
6750,114,0,Normal
6760,92,0,Normal
6770,70,0,Normal
6780,46,0,Normal
6790,23,0,Normal
6800,0,0,Normal
6810,-23,0,Normal
6820,-46,1,Tachycardia
6830,-70,1,Tachycardia
6840,-92,1,Tachycardia
6850,-114,1,Tachycardia
6860,-136,1,Tachycardia
6870,-156,1,Tachycardia
6880,-176,1,Tachycardia
6890,-194,1,Tachycardia
6900,-212,1,Tachycardia
6910,-228,1,Tachycardia
6920,-242,1,Tachycardia
6930,-255,1,Tachycardia
6940,-267,1,Tachycardia
6950,-277,1,Tachycardia
6960,-285,1,Tachycardia
6970,-291,1,Tachycardia
6980,-296,1,Tachycardia
6990,-299,1,Tachycardia
7000,-299,1,Tachycardia
7010,-299,1,Tachycardia
7020,-296,1,Tachycardia
7030,-291,1,Tachycardia
7040,-285,1,Tachycardia
7050,-277,1,Tachycardia
7060,-267,1,Tachycardia
7070,-255,1,Tachycardia
7080,-242,1,Tachycardia
7090,-228,1,Tachycardia
7100,-212,1,Tachycardia
7110,-194,1,Tachycardia
7120,-176,1,Tachycardia
7130,-156,1,Tachycardia
7140,-136,1,Tachycardia
7150,-114,1,Tachycardia
7160,-92,1,Tachycardia
7170,-70,1,Tachycardia
7180,-46,1,Tachycardia
7190,-23,0,Normal
7200,0,0,Normal
7210,23,0,Normal
7220,46,0,Normal
7230,70,0,Normal
7240,92,0,Normal
7250,114,0,Normal
7260,136,0,Normal
7270,156,0,Normal
7280,176,0,Normal
7290,194,0,Normal
7300,212,0,Normal
7310,228,0,Normal
7320,242,0,Normal
7330,255,0,Normal
7340,267,0,Normal
7350,277,0,Normal
7360,285,0,Normal
7370,291,0,Normal
7380,296,0,Normal
7390,299,0,Normal
7400,299,0,Normal
7410,299,0,Normal
7420,296,0,Normal
7430,291,0,Normal
7440,285,0,Normal
7450,277,0,Normal
7460,267,0,Normal
7470,255,0,Normal
7480,242,0,Normal
7490,228,0,Normal
7500,212,0,Normal
7510,194,0,Normal
7520,176,0,Normal
7530,156,0,Normal
7540,136,0,Normal
7550,114,0,Normal
7560,92,0,Normal
7570,70,0,Normal
7580,46,0,Normal
7590,23,0,Normal
7600,0,0,Normal
7610,-23,0,Normal
7620,-46,1,Tachycardia
7630,-70,1,Tachycardia
7640,-92,1,Tachycardia
7650,-114,1,Tachycardia
7660,-136,1,Tachycardia
7670,-156,1,Tachycardia
7680,-176,1,Tachycardia
7690,-194,1,Tachycardia
7700,-212,1,Tachycardia
7710,-228,1,Tachycardia
7720,-242,1,Tachycardia
7730,-255,1,Tachycardia
7740,-267,1,Tachycardia
7750,-277,1,Tachycardia
7760,-285,1,Tachycardia
7770,-291,1,Tachycardia
7780,-296,1,Tachycardia
7790,-299,1,Tachycardia
7800,-299,1,Tachycardia
7810,-299,1,Tachycardia
7820,-296,1,Tachycardia
7830,-291,1,Tachycardia
7840,-285,1,Tachycardia
7850,-277,1,Tachycardia
7860,-267,1,Tachycardia
7870,-255,1,Tachycardia
7880,-242,1,Tachycardia
7890,-228,1,Tachycardia
7900,-212,1,Tachycardia
7910,-194,1,Tachycardia
7920,-176,1,Tachycardia
7930,-156,1,Tachycardia
7940,-136,1,Tachycardia
7950,-114,1,Tachycardia
7960,-92,1,Tachycardia
7970,-70,1,Tachycardia
7980,-46,1,Tachycardia
7990,-23,0,Normal
8000,0,0,Normal
8010,23,0,Normal
8020,46,0,Normal
8030,70,0,Normal
8040,92,0,Normal
8050,114,0,Normal
8060,136,0,Normal
8070,156,0,Normal
8080,176,0,Normal
8090,194,0,Normal
8100,212,0,Normal
8110,228,0,Normal
8120,242,0,Normal
8130,255,0,Normal
8140,267,0,Normal
8150,277,0,Normal
8160,285,0,Normal
8170,291,0,Normal
8180,296,0,Normal
8190,299,0,Normal
8200,299,0,Normal
8210,299,0,Normal
8220,296,0,Normal
8230,291,0,Normal
8240,285,0,Normal
8250,277,0,Normal
8260,267,0,Normal
8270,255,0,Normal
8280,242,0,Normal
8290,228,0,Normal
8300,212,0,Normal
8310,194,0,Normal
8320,176,0,Normal
8330,156,0,Normal
8340,136,0,Normal
8350,114,0,Normal
8360,92,0,Normal
8370,70,0,Normal
8380,46,0,Normal
8390,23,0,Normal
8400,0,0,Normal
8410,-23,0,Normal
8420,-46,1,Tachycardia
8430,-70,1,Tachycardia
8440,-92,1,Tachycardia
8450,-114,1,Tachycardia
8460,-136,1,Tachycardia
8470,-156,1,Tachycardia
8480,-176,1,Tachycardia
8490,-194,1,Tachycardia
8500,-212,1,Tachycardia
8510,-228,1,Tachycardia
8520,-242,1,Tachycardia
8530,-255,1,Tachycardia
8540,-267,1,Tachycardia
8550,-277,1,Tachycardia
8560,-285,1,Tachycardia
8570,-291,1,Tachycardia
8580,-296,1,Tachycardia
8590,-299,1,Tachycardia
8600,-299,1,Tachycardia
8610,-299,1,Tachycardia
8620,-296,1,Tachycardia
8630,-291,1,Tachycardia
8640,-285,1,Tachycardia
8650,-277,1,Tachycardia
8660,-267,1,Tachycardia
8670,-255,1,Tachycardia
8680,-242,1,Tachycardia
8690,-228,1,Tachycardia
8700,-212,1,Tachycardia
8710,-194,1,Tachycardia
8720,-176,1,Tachycardia
8730,-156,1,Tachycardia
8740,-136,1,Tachycardia
8750,-114,1,Tachycardia
8760,-92,1,Tachycardia
8770,-70,1,Tachycardia
8780,-46,1,Tachycardia
8790,-23,0,Normal
8800,0,0,Normal
8810,23,0,Normal
8820,46,0,Normal
8830,70,0,Normal
8840,92,0,Normal
8850,114,0,Normal
8860,136,0,Normal
8870,156,0,Normal
8880,176,0,Normal
8890,194,0,Normal
8900,212,0,Normal
8910,228,0,Normal
8920,242,0,Normal
8930,255,0,Normal
8940,267,0,Normal
8950,277,0,Normal
8960,285,0,Normal
8970,291,0,Normal
8980,296,0,Normal
8990,299,0,Normal
9000,299,0,Normal
9010,299,0,Normal
9020,296,0,Normal
9030,291,0,Normal
9040,285,0,Normal
9050,277,0,Normal
9060,267,0,Normal
9070,255,0,Normal
9080,242,0,Normal
9090,228,0,Normal
9100,212,0,Normal
9110,194,0,Normal
9120,176,0,Normal
9130,156,0,Normal
9140,136,0,Normal
9150,114,0,Normal
9160,92,0,Normal
9170,70,0,Normal
9180,46,0,Normal
9190,23,0,Normal
9200,0,0,Normal
9210,-23,0,Normal
9220,-46,1,Tachycardia
9230,-70,1,Tachycardia
9240,-92,1,Tachycardia
9250,-114,1,Tachycardia
9260,-136,1,Tachycardia
9270,-156,1,Tachycardia
9280,-176,1,Tachycardia
9290,-194,1,Tachycardia
9300,-212,1,Tachycardia
9310,-228,1,Tachycardia
9320,-242,1,Tachycardia
9330,-255,1,Tachycardia
9340,-267,1,Tachycardia
9350,-277,1,Tachycardia
9360,-285,1,Tachycardia
9370,-291,1,Tachycardia
9380,-296,1,Tachycardia
9390,-299,1,Tachycardia
9400,-299,1,Tachycardia
9410,-299,1,Tachycardia
9420,-296,1,Tachycardia
9430,-291,1,Tachycardia
9440,-285,1,Tachycardia
9450,-277,1,Tachycardia
9460,-267,1,Tachycardia
9470,-255,1,Tachycardia
9480,-242,1,Tachycardia
9490,-228,1,Tachycardia
9500,-212,1,Tachycardia
9510,-194,1,Tachycardia
9520,-176,1,Tachycardia
9530,-156,1,Tachycardia
9540,-136,1,Tachycardia
9550,-114,1,Tachycardia
9560,-92,1,Tachycardia
9570,-70,1,Tachycardia
9580,-46,1,Tachycardia
9590,-23,0,Normal
9600,0,0,Normal
9610,23,0,Normal
9620,46,0,Normal
9630,70,0,Normal
9640,92,0,Normal
9650,114,0,Normal
9660,136,0,Normal
9670,156,0,Normal
9680,176,0,Normal
9690,194,0,Normal
9700,212,0,Normal
9710,228,0,Normal
9720,242,0,Normal
9730,255,0,Normal
9740,267,0,Normal
9750,277,0,Normal
9760,285,0,Normal
9770,291,0,Normal
9780,296,0,Normal
9790,299,0,Normal
9800,299,0,Normal
9810,299,0,Normal
9820,296,0,Normal
9830,291,0,Normal
9840,285,0,Normal
9850,277,0,Normal
9860,267,0,Normal
9870,255,0,Normal
9880,242,0,Normal
9890,228,0,Normal
9900,212,0,Normal
9910,194,0,Normal
9920,176,0,Normal
9930,156,0,Normal
9940,136,0,Normal
9950,114,0,Normal
9960,92,0,Normal
9970,70,0,Normal
9980,46,0,Normal
9990,23,0,Normal
10000,0,0,Normal
10010,-23,0,Normal
10020,-46,1,Tachycardia
10030,-70,1,Tachycardia
10040,-92,1,Tachycardia
10050,-114,1,Tachycardia
10060,-136,1,Tachycardia
10070,-156,1,Tachycardia
10080,-176,1,Tachycardia
10090,-194,1,Tachycardia
10100,-212,1,Tachycardia
10110,-228,1,Tachycardia
10120,-242,1,Tachycardia
10130,-255,1,Tachycardia
10140,-267,1,Tachycardia
10150,-277,1,Tachycardia
10160,-285,1,Tachycardia
10170,-291,1,Tachycardia
10180,-296,1,Tachycardia
10190,-299,1,Tachycardia
10200,-300,1,Tachycardia
10210,-299,1,Tachycardia
10220,-296,1,Tachycardia
10230,-291,1,Tachycardia
10240,-285,1,Tachycardia
10250,-277,1,Tachycardia
10260,-267,1,Tachycardia
10270,-255,1,Tachycardia
10280,-242,1,Tachycardia
10290,-228,1,Tachycardia
10300,-212,1,Tachycardia
10310,-194,1,Tachycardia
10320,-176,1,Tachycardia
10330,-156,1,Tachycardia
10340,-136,1,Tachycardia
10350,-114,1,Tachycardia
10360,-92,1,Tachycardia
10370,-70,1,Tachycardia
10380,-46,1,Tachycardia
10390,-23,0,Normal
10400,0,0,Normal
10410,23,0,Normal
10420,46,0,Normal
10430,70,0,Normal
10440,92,0,Normal
10450,114,0,Normal
10460,136,0,Normal
10470,156,0,Normal
10480,176,0,Normal
10490,194,0,Normal
10500,212,0,Normal
10510,228,0,Normal
10520,242,0,Normal
10530,255,0,Normal
10540,267,0,Normal
10550,277,0,Normal
10560,285,0,Normal
10570,291,0,Normal
10580,296,0,Normal
10590,299,0,Normal
10600,299,0,Normal
10610,299,0,Normal
10620,296,0,Normal
10630,291,0,Normal
10640,285,0,Normal
10650,277,0,Normal
10660,267,0,Normal
10670,255,0,Normal
10680,242,0,Normal
10690,228,0,Normal
10700,212,0,Normal
10710,194,0,Normal
10720,176,0,Normal
10730,156,0,Normal
10740,136,0,Normal
10750,114,0,Normal
10760,92,0,Normal
10770,70,0,Normal
10780,46,0,Normal
10790,23,0,Normal
10800,0,0,Normal
10810,-23,0,Normal
10820,-46,1,Tachycardia
10830,-70,1,Tachycardia
10840,-92,1,Tachycardia
10850,-114,1,Tachycardia
10860,-136,1,Tachycardia
10870,-156,1,Tachycardia
10880,-176,1,Tachycardia
10890,-194,1,Tachycardia
10900,-212,1,Tachycardia
10910,-228,1,Tachycardia
10920,-242,1,Tachycardia
10930,-255,1,Tachycardia
10940,-267,1,Tachycardia
10950,-277,1,Tachycardia
10960,-285,1,Tachycardia
10970,-291,1,Tachycardia
10980,-296,1,Tachycardia
10990,-299,1,Tachycardia
11000,-299,1,Tachycardia
11010,-299,1,Tachycardia
11020,-296,1,Tachycardia
11030,-291,1,Tachycardia
11040,-285,1,Tachycardia
11050,-277,1,Tachycardia
11060,-267,1,Tachycardia
11070,-255,1,Tachycardia
11080,-242,1,Tachycardia
11090,-228,1,Tachycardia
11100,-212,1,Tachycardia
11110,-194,1,Tachycardia
11120,-176,1,Tachycardia
11130,-156,1,Tachycardia
11140,-136,1,Tachycardia
11150,-114,1,Tachycardia
11160,-92,1,Tachycardia
11170,-70,1,Tachycardia
11180,-46,1,Tachycardia
11190,-23,0,Normal
11200,0,0,Normal
11210,23,0,Normal
11220,46,0,Normal
11230,70,0,Normal
11240,92,0,Normal
11250,114,0,Normal
11260,136,0,Normal
11270,156,0,Normal
11280,176,0,Normal
11290,194,0,Normal
11300,212,0,Normal
11310,228,0,Normal
11320,242,0,Normal
11330,255,0,Normal
11340,267,0,Normal
11350,277,0,Normal
11360,285,0,Normal
11370,291,0,Normal
11380,296,0,Normal
11390,299,0,Normal
11400,299,0,Normal
11410,299,0,Normal
11420,296,0,Normal
